通道号	小数位数	单位
CH01	3	V
CH02	3	V
CH03	3	V
CH04	3	V
CH05	3	V
CH06	3	V
CH07	3	V
CH08	3	V
CH09	3	V
CH10	3	V
CH11	3	V
CH12	3	V
CH13	3	V
CH14	3	V
CH15	3	V
CH16	3	V
CH17	3	V
CH18	3	V
CH19	3	V
CH20	3	V
CH21	3	V
CH22	3	V
CH23	3	V
CH24	3	V
CH25	3	V
CH26	3	V
CH27	3	V
CH28	3	V
CH29	3	V
CH30	3	V
CH31	1	Celsius
CH32	1	Celsius
CH33	1	Celsius
CH34	2	V
CH35	2	A
CH36	2	SLM
CH37	3	SLM
CH38	2	SLM
CH39	2	A
CH40	2	V
CH41	1	Pa
CH42	1	Pa
CH43	0	Pa
CH44	0	Pa
CH45	2	SLM
CH46	2	SLM
CH47	1	SLM
CH48	1	Celsius
